,track_id, year, month, day, hour, i, j, lon, lat, psl_min, sfcWind_max, orog_max, wind_max_925, wind_max_850, rh_avg_850
1825,82,2020,9,27,18,942,1279,132.539062,29.953125,99576.0,22.19234,0.0,32.06244,34.56719,74.90549
1826,82,2020,9,28,0,952,1300,133.945312,31.921875,99279.25,30.70067,0.0,40.20028,38.91437,72.65845
1827,82,2020,9,28,6,970,1324,136.476562,34.171875,99033.25,32.77671,34.41346,51.61395,50.66187,73.61785
1828,82,2020,9,28,12,993,1347,139.710938,36.328125,99832.0,20.07253,63.06387,36.55924,38.68886,77.46512
1829,82,2020,9,28,18,1023,1389,143.929688,40.265625,99700.0,23.11115,0.0,40.48399,42.60648,87.18494
1830,82,2020,9,29,0,1053,1423,148.148438,43.453125,99359.0,20.75339,0.0,43.92554,41.51525,80.88701
1831,83,2020,9,26,6,917,1150,129.023438,17.859375,100465.8,15.73412,0.0,24.77713,25.30316,82.80325
1832,83,2020,9,26,18,921,1151,129.585938,17.953125,100207.8,22.0032,0.0,29.55001,27.15292,81.87889
1833,83,2020,9,27,0,924,1161,130.007812,18.890625,100375.2,26.14054,0.0,31.75394,26.50118,81.81396
1834,83,2020,9,27,6,923,1170,129.867188,19.734375,99870.5,20.5643,0.0,28.48492,27.38299,81.76971
1835,83,2020,9,27,12,921,1179,129.585938,20.578125,99748.75,23.71708,0.0,32.11795,32.56724,81.25995
1836,83,2020,9,27,18,918,1187,129.164062,21.328125,99207.75,29.10568,0.0,39.27467,35.13768,80.46761
1837,83,2020,9,28,0,916,1196,128.882812,22.171875,99443.0,29.26015,0.0,36.64632,34.89717,80.08895
1838,83,2020,9,28,6,913,1203,128.460938,22.828125,99403.5,27.16414,0.0,34.3459,31.85048,80.05659
1839,83,2020,9,28,12,910,1207,128.039062,23.203125,99839.25,23.2715,0.0,28.45748,27.43686,81.64036
1840,83,2020,9,28,18,907,1211,127.617188,23.578125,99893.5,21.37646,0.0,28.47175,26.34032,86.58267
1841,83,2020,9,29,0,901,1210,126.773438,23.484375,100020.0,23.70555,0.0,28.85578,26.05403,86.90923
1842,83,2020,9,29,6,897,1209,126.210937,23.390625,99865.25,24.25032,0.0,30.50948,25.95579,87.55241
1843,83,2020,9,29,12,893,1205,125.648438,23.015625,100291.8,21.16638,0.0,30.6533,27.1673,87.94849
1844,83,2020,9,29,18,887,1207,124.804688,23.203125,100241.0,21.36001,0.0,29.37101,25.37839,88.03592
1845,83,2020,9,30,0,879,1198,123.679688,22.359375,100382.0,19.87854,0.0,30.00339,29.02585,83.45551
1846,83,2020,9,30,6,871,1190,122.554688,21.609375,100162.0,22.31871,0.0,32.14129,27.1227,83.22571
1847,83,2020,9,30,12,870,1184,122.414063,21.046875,100136.0,21.3929,0.0,33.75093,28.22731,81.1818
1848,83,2020,9,30,18,867,1177,121.992188,20.390625,100063.2,19.731,0.0,27.27665,25.57648,83.94875
