track_id, year, month, day, hour, i, j, lon, lat, slp, wind
8, 2020, 2, 7, 12, 929, 249, 185.903280, 40.144605, 9.797791e+04, 1.748018e+01
8, 2020, 2, 7, 18, 932, 252, 186.503613, 39.543938, 9.830807e+04, 1.816404e+01
8, 2020, 2, 8, 0, 940, 252, 188.104503, 39.543938, 9.853800e+04, 1.723878e+01
8, 2020, 2, 8, 6, 943, 249, 188.704836, 40.144605, 9.890730e+04, 1.383952e+01
8, 2020, 2, 8, 12, 947, 248, 189.505281, 40.344828, 9.916800e+04, 1.542368e+01
8, 2020, 2, 8, 18, 952, 246, 190.505837, 40.745273, 9.950833e+04, 1.655816e+01
8, 2020, 2, 9, 0, 956, 246, 191.306281, 40.745273, 9.972834e+04, 1.625837e+01
9, 2020, 2, 10, 6, 876, 508, 175.297387, -11.713014, 1.000782e+05, 1.355735e+01
9, 2020, 2, 10, 12, 882, 508, 176.498054, -11.713014, 1.001735e+05, 1.392039e+01
9, 2020, 2, 10, 18, 888, 511, 177.698722, -12.313682, 9.996716e+04, 1.513289e+01
9, 2020, 2, 11, 0, 893, 516, 178.699277, -13.314794, 9.991503e+04, 1.629740e+01
9, 2020, 2, 11, 12, 901, 530, 180.300167, -16.117909, 9.966410e+04, 1.884356e+01
9, 2020, 2, 11, 18, 905, 538, 181.100611, -17.719689, 9.945466e+04, 1.919462e+01
9, 2020, 2, 12, 12, 919, 563, 183.902168, -22.725250, 9.920013e+04, 1.957184e+01
9, 2020, 2, 13, 0, 934, 573, 186.903835, -24.727475, 9.929548e+04, 1.955912e+01
9, 2020, 2, 13, 6, 942, 575, 188.504725, -25.127920, 9.936033e+04, 1.788679e+01
9, 2020, 2, 13, 12, 949, 574, 189.905503, -24.927697, 9.951491e+04, 1.770058e+01
9, 2020, 2, 13, 18, 956, 573, 191.306281, -24.727475, 9.958113e+04, 1.716931e+01
9, 2020, 2, 14, 0, 966, 571, 193.307393, -24.327030, 9.951063e+04, 1.856218e+01
9, 2020, 2, 14, 6, 975, 568, 195.108394, -23.726363, 9.951023e+04, 1.733808e+01
9, 2020, 2, 15, 0, 1001, 564, 200.311284, -22.925473, 9.968368e+04, 1.634115e+01
9, 2020, 2, 15, 6, 1012, 565, 202.512507, -23.125695, 9.973012e+04, 1.637752e+01
9, 2020, 2, 15, 12, 1027, 568, 205.514175, -23.726363, 9.954252e+04, 1.910175e+01
9, 2020, 2, 15, 18, 1039, 574, 207.915509, -24.927697, 9.901523e+04, 2.628463e+01
9, 2020, 2, 16, 0, 1049, 578, 209.916620, -25.728587, 9.907896e+04, 2.332036e+01
10, 2020, 2, 15, 12, 694, 519, 138.877154, -13.915462, 1.002518e+05, 1.593742e+01
10, 2020, 2, 15, 18, 694, 518, 138.877154, -13.715239, 9.985020e+04, 1.566563e+01
10, 2020, 2, 16, 0, 694, 517, 138.877154, -13.515017, 1.000467e+05, 1.528812e+01
10, 2020, 2, 16, 6, 694, 515, 138.877154, -13.114572, 9.968402e+04, 1.598957e+01
10, 2020, 2, 16, 12, 695, 515, 139.077265, -13.114572, 9.990359e+04, 1.710068e+01
