track_id, year, month, day, hour, i, lon, lat, slp, wind
4, 2020, 1, 30, 0, 650826, 121.816406, -15.094849, 9.908205e+04, 1.950041e+01
4, 2020, 1, 30, 3, 650826, 121.816406, -15.094849, 9.886615e+04, 1.867297e+01
4, 2020, 1, 30, 6, 650826, 121.816406, -15.094849, 9.853709e+04, 1.951993e+01
4, 2020, 1, 30, 9, 650783, 121.640625, -15.249446, 9.838556e+04, 2.254523e+01
4, 2020, 1, 30, 12, 650783, 121.640625, -15.249446, 9.785138e+04, 2.692879e+01
4, 2020, 1, 30, 15, 650782, 121.464844, -15.404157, 9.724635e+04, 3.380074e+01
4, 2020, 1, 30, 18, 650804, 121.289062, -15.249446, 9.637005e+04, 3.715645e+01
4, 2020, 1, 30, 21, 650801, 121.113281, -15.404157, 9.612506e+04, 3.421689e+01
4, 2020, 1, 31, 0, 650802, 120.761719, -15.404157, 9.612290e+04, 3.567973e+01
4, 2020, 1, 31, 3, 650797, 120.410156, -15.404157, 9.568079e+04, 3.484524e+01
4, 2020, 1, 31, 6, 650798, 120.058594, -15.404157, 9.445472e+04, 4.028148e+01
4, 2020, 1, 31, 9, 650795, 119.882813, -15.558983, 9.497725e+04, 3.973942e+01
4, 2020, 1, 31, 12, 650880, 119.531250, -15.558983, 9.540296e+04, 4.006272e+01
4, 2020, 1, 31, 15, 650204, 118.828125, -15.558983, 9.490140e+04, 4.345628e+01
4, 2020, 1, 31, 18, 650201, 118.652344, -15.713926, 9.513610e+04, 4.213265e+01
4, 2020, 1, 31, 21, 650213, 117.949219, -15.713926, 9.560941e+04, 4.082000e+01
4, 2020, 2, 1, 0, 650211, 117.421875, -15.868986, 9.587201e+04, 3.543671e+01
4, 2020, 2, 1, 3, 650173, 116.894531, -16.024166, 9.644905e+04, 3.517067e+01
4, 2020, 2, 1, 6, 344340, 116.367188, -15.868986, 9.593978e+04, 3.828968e+01
4, 2020, 2, 1, 9, 344345, 115.839844, -15.713926, 9.615785e+04, 3.824408e+01
4, 2020, 2, 1, 12, 344346, 115.488281, -15.713926, 9.664596e+04, 3.407196e+01
4, 2020, 2, 1, 15, 344368, 115.312500, -15.558983, 9.688438e+04, 3.610651e+01
4, 2020, 2, 1, 18, 344359, 114.960938, -15.558983, 9.699112e+04, 3.691025e+01
4, 2020, 2, 1, 21, 344365, 114.785156, -15.404157, 9.718006e+04, 3.463947e+01
4, 2020, 2, 2, 0, 344364, 114.609375, -15.558983, 9.818257e+04, 3.062644e+01
4, 2020, 2, 2, 3, 344355, 114.609375, -15.868986, 9.854053e+04, 2.524559e+01
4, 2020, 2, 2, 6, 344353, 114.785156, -16.024166, 9.890337e+04, 2.062486e+01
4, 2020, 2, 2, 9, 344159, 114.609375, -16.490437, 9.931138e+04, 1.563277e+01
4, 2020, 2, 2, 12, 344158, 114.433594, -16.646109, 9.957722e+04, 1.428582e+01
4, 2020, 2, 2, 15, 344155, 114.257812, -16.801907, 9.961735e+04, 1.481131e+01
4, 2020, 2, 2, 18, 344155, 114.257812, -16.801907, 9.961246e+04, 1.451371e+01
4, 2020, 2, 2, 21, 344177, 114.082031, -16.646109, 9.969634e+04, 1.522149e+01
4, 2020, 2, 3, 0, 344177, 114.082031, -16.646109, 9.988912e+04, 1.351626e+01
4, 2020, 2, 3, 3, 344165, 113.730469, -16.957833, 9.983218e+04, 1.432873e+01
5, 2020, 2, 1, 18, 580959, 61.171875, -14.015742, 1.003441e+05, 1.502928e+01
5, 2020, 2, 1, 21, 362506, 61.347656, -13.862006, 1.000149e+05, 1.712654e+01
5, 2020, 2, 2, 0, 580959, 61.171875, -14.015742, 9.989821e+04, 1.699874e+01
5, 2020, 2, 2, 3, 362504, 61.523438, -14.015742, 9.995466e+04, 1.770675e+01
5, 2020, 2, 2, 6, 580951, 61.523438, -14.323523, 9.988735e+04, 1.866324e+01
5, 2020, 2, 2, 9, 579579, 61.523438, -14.940364, 9.970496e+04, 1.917978e+01
5, 2020, 2, 2, 12, 580934, 60.644531, -15.094849, 9.965020e+04, 1.998976e+01
5, 2020, 2, 2, 15, 580939, 60.117188, -14.940364, 9.970432e+04, 1.810657e+01
5, 2020, 2, 2, 18, 580919, 59.414062, -14.940364, 9.933801e+04, 2.009877e+01
5, 2020, 2, 2, 21, 580919, 59.414062, -14.940364, 9.904716e+04, 2.190851e+01
5, 2020, 2, 3, 0, 580923, 58.710938, -14.940364, 9.894419e+04, 2.304606e+01
5, 2020, 2, 3, 3, 581009, 58.535156, -14.785991, 9.898799e+04, 2.236195e+01
5, 2020, 2, 3, 6, 581017, 58.183594, -14.477572, 9.892319e+04, 2.401856e+01
5, 2020, 2, 3, 9, 581017, 58.183594, -14.477572, 9.874848e+04, 2.339471e+01
5, 2020, 2, 3, 12, 581040, 57.656250, -14.323523, 9.873126e+04, 2.546992e+01
5, 2020, 2, 3, 15, 581043, 57.656250, -14.015742, 9.843118e+04, 2.583507e+01
5, 2020, 2, 3, 18, 581053, 57.832031, -13.554840, 9.815560e+04, 3.011554e+01
5, 2020, 2, 3, 21, 581053, 57.832031, -13.554840, 9.741659e+04, 3.386697e+01
5, 2020, 2, 4, 0, 581097, 58.183594, -13.248069, 9.805271e+04, 3.052978e+01
5, 2020, 2, 4, 3, 581071, 59.062500, -13.401405, 9.807585e+04, 2.981258e+01
5, 2020, 2, 4, 6, 581080, 59.414062, -13.401405, 9.801375e+04, 2.903792e+01
5, 2020, 2, 4, 9, 581073, 59.941406, -13.554840, 9.803700e+04, 2.935012e+01
5, 2020, 2, 4, 12, 580988, 60.468750, -13.708373, 9.803040e+04, 2.963979e+01
5, 2020, 2, 4, 15, 580983, 60.820312, -13.708373, 9.814190e+04, 3.031225e+01
5, 2020, 2, 4, 18, 362506, 61.347656, -13.862006, 9.797909e+04, 3.054064e+01
5, 2020, 2, 4, 21, 362505, 61.699219, -13.862006, 9.770618e+04, 2.973494e+01
5, 2020, 2, 5, 0, 362512, 62.578125, -13.708373, 9.781826e+04, 3.142488e+01
5, 2020, 2, 5, 3, 361148, 63.281250, -13.708373, 9.766002e+04, 3.259526e+01
5, 2020, 2, 5, 6, 361118, 63.808594, -14.169580, 9.731509e+04, 3.221425e+01
5, 2020, 2, 5, 9, 361109, 64.511719, -14.477572, 9.703234e+04, 3.220053e+01
5, 2020, 2, 5, 12, 361056, 65.390625, -14.940364, 9.696606e+04, 3.395203e+01
5, 2020, 2, 5, 15, 360989, 65.566406, -15.404157, 9.670347e+04, 2.961388e+01
5, 2020, 2, 5, 18, 360638, 65.917969, -16.024166, 9.632856e+04, 3.159479e+01
5, 2020, 2, 5, 21, 360630, 66.269531, -16.334890, 9.592179e+04, 3.322579e+01
5, 2020, 2, 6, 0, 360625, 66.269531, -16.646109, 9.539184e+04, 3.545792e+01
5, 2020, 2, 6, 3, 360601, 66.621094, -16.957833, 9.506048e+04, 3.841713e+01
5, 2020, 2, 6, 6, 360594, 66.621094, -17.270076, 9.477123e+04, 3.714142e+01
5, 2020, 2, 6, 9, 360504, 67.148438, -17.739438, 9.417904e+04, 3.867596e+01
5, 2020, 2, 6, 12, 360496, 67.500000, -18.053028, 9.377094e+04, 4.231734e+01
5, 2020, 2, 6, 15, 360461, 67.675781, -18.524468, 9.338302e+04, 4.244109e+01
5, 2020, 2, 6, 18, 360452, 67.851562, -18.997211, 9.318634e+04, 4.439900e+01
5, 2020, 2, 6, 21, 338604, 68.203125, -19.313119, 9.290619e+04, 4.539793e+01
5, 2020, 2, 7, 0, 338593, 68.378906, -19.788132, 9.278056e+04, 4.548855e+01
5, 2020, 2, 7, 3, 338568, 68.554688, -20.264566, 9.310835e+04, 4.518637e+01
5, 2020, 2, 7, 6, 338474, 69.082031, -20.742467, 9.323959e+04, 4.435358e+01
5, 2020, 2, 7, 9, 556919, 69.257812, -21.221882, 9.347413e+04, 4.277468e+01
5, 2020, 2, 7, 12, 556892, 69.609375, -21.863542, 9.354404e+04, 4.215814e+01
5, 2020, 2, 7, 15, 556881, 69.785156, -22.346682, 9.401976e+04, 4.008182e+01
5, 2020, 2, 7, 18, 556530, 70.136719, -22.993491, 9.434123e+04, 3.855820e+01
5, 2020, 2, 7, 21, 556495, 70.312500, -23.480635, 9.430684e+04, 3.947547e+01
5, 2020, 2, 8, 0, 556483, 70.312500, -24.132978, 9.478398e+04, 3.615184e+01
5, 2020, 2, 8, 3, 556394, 70.488281, -24.624423, 9.518735e+04, 3.477119e+01
5, 2020, 2, 8, 6, 556341, 70.839844, -25.282711, 9.560997e+04, 3.399587e+01
5, 2020, 2, 8, 9, 556313, 70.839844, -25.944591, 9.568554e+04, 3.412844e+01
5, 2020, 2, 8, 12, 556292, 70.664062, -26.777221, 9.602694e+04, 3.180034e+01
5, 2020, 2, 8, 15, 554923, 70.664062, -27.111977, 9.650121e+04, 2.933578e+01
5, 2020, 2, 8, 18, 554743, 70.664062, -27.784525, 9.680266e+04, 2.785743e+01
5, 2020, 2, 8, 21, 554714, 70.488281, -28.631115, 9.697366e+04, 2.798476e+01
